<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Lasker-DeBakey_Clinical_Medical_Research_Award>	Lasker-DeBakey Clinical Medical Research Award
<Green_Party_(Brazil)>	Green Party (Brazil)
<Nil_by_Mouth_(film)>	Nil by Mouth (film)
<Union_for_a_Popular_Movement>	Union for a Popular Movement
<Under_Western_Eyes_(novel)>	Under Western Eyes (novel)
<Felicia_Farr>	Felicia Farr
<State_Anthem_of_the_Soviet_Union>	State Anthem of the Soviet Union
<Kátia_Abreu>	Kátia Abreu
<Dorothy_Stratten>	Dorothy Stratten
<Yasuko_Konoe>	Yasuko Konoe
<Rosalyn_Sussman_Yalow>	Rosalyn Sussman Yalow
<So_ein_Millionär_hat's_schwer>	So ein Millionär hat's schwer
<Amos_Oz>	Amos Oz
<Sarah_Clarke>	Sarah Clarke
<Silk_Stockings_(film)>	Silk Stockings (film)
<Ludwig_von_Bogdandy>	Ludwig von Bogdandy
<Herbert_Friedman>	Herbert Friedman
<Michael_Jay_Solomon>	Michael Jay Solomon
<WebMD>	WebMD
<Minhyong_Kim>	Minhyong Kim
<Christian_Slater>	Christian Slater
<Dominique_Dunne>	Dominique Dunne
<Kingston_upon_Hull>	Kingston upon Hull
<Rhea_Chiles>	Rhea Chiles
<Sevilla_Atlético>	Sevilla Atlético
<Eva_Lundgren>	Eva Lundgren
<Narapatisithu>	Narapatisithu
<John_Hollis>	John Hollis
<Guinio_Ganev>	Guinio Ganev
<Montreal>	Montreal
<Mother_(TV_series)>	Mother (TV series)
<Paddy_Glynn>	Paddy Glynn
<Rosemary_Theby>	Rosemary Theby
<Mignon_Anderson>	Mignon Anderson
<John_Kingman>	John Kingman
<Elizabeth_Hartman>	Elizabeth Hartman
<Barnum_(musical)>	Barnum (musical)
<Juanlu_(footballer,_born_1984)>	Juanlu (footballer, born 1984)
<Doug_Gaffka>	Doug Gaffka
<Target_Corporation>	Target Corporation
<Maccabi_Haifa_F.C.>	Maccabi Haifa F.C.
<Demetrios_Christodoulou>	Demetrios Christodoulou
<Bradford>	Bradford
<Cold_Spring_Harbor_Laboratory>	Cold Spring Harbor Laboratory
<ESPN_Asia>	ESPN Asia
<University_of_California,_San_Diego>	University of California, San Diego
<Julius_Youngner>	Julius Youngner
<Rutgers_University>	Rutgers University
<Lokalavisene_Oslo>	Lokalavisene Oslo
<Vitan_Sud_Beej>	Vitan Sud Beej
<Michael_Tylo>	Michael Tylo
<BMW_3_Series_(E21)>	BMW 3 Series (E21)
<Clara_Zetkin>	Clara Zetkin
<Gennifer_Flowers>	Gennifer Flowers
<Shari_Belafonte>	Shari Belafonte
<Jay_Asher>	Jay Asher
<Tracy_Wright>	Tracy Wright
<Trio_(TV_network)>	Trio (TV network)
<Royal_Antwerp_F.C.>	Royal Antwerp F.C.
<Point_of_Impact>	Point of Impact
<University_of_Strathclyde>	University of Strathclyde
<Saab_900>	Saab 900
<Asif_Ali_Zardari>	Asif Ali Zardari
<Kompas_Gramedia_Group>	Kompas Gramedia Group
<Sporting_de_Gijón>	Sporting de Gijón
<Troy_Donahue>	Troy Donahue
<James_Clerk_Maxwell>	James Clerk Maxwell
<Jack_Nicklaus>	Jack Nicklaus
<Ronnie_Ekelund>	Ronnie Ekelund
<Chris_Huhne>	Chris Huhne
<Brentford_F.C.>	Brentford F.C.
<Anouk_Aimée>	Anouk Aimée
<Roy_J._Glauber>	Roy J. Glauber
<Leonore_Annenberg>	Leonore Annenberg
<Richard_Tsoi>	Richard Tsoi
<Willow_Bay>	Willow Bay
<Fires_on_the_Plain_(novel)>	Fires on the Plain (novel)
<Dark_Palace>	Dark Palace
<Panofsky_Prize>	Panofsky Prize
<Macclesfield>	Macclesfield
<James_Dunn_(Australian_politician)>	James Dunn (Australian politician)
<Walter_Massy-Greene>	Walter Massy-Greene
<Edie_Adams>	Edie Adams
<BlackBerry_Messenger>	BlackBerry Messenger
<Nella_Larsen>	Nella Larsen
<Bernardo_Tengarrinha>	Bernardo Tengarrinha
<Sarah_Bolton_(physicist)>	Sarah Bolton (physicist)
<Lionsgate>	Lionsgate
<Dale_Johnson>	Dale Johnson
<Grover_Krantz>	Grover Krantz
<Giorgetto_Giugiaro>	Giorgetto Giugiaro
<Walter_Hasenclever>	Walter Hasenclever
<The_Secret_History>	The Secret History
<Eduardo_Ruberté_Bisó>	Eduardo Ruberté Bisó
<Chandrika_Kumaratunga>	Chandrika Kumaratunga
<Bruce_Smith_(Australian_politician)>	Bruce Smith (Australian politician)
<Guaranteed_Rate_Field>	Guaranteed Rate Field
<Ritchie_De_Laet>	Ritchie De Laet
<Shahid_Nadeem>	Shahid Nadeem
<Marvin_Zelen>	Marvin Zelen
<Dorothy_Dandridge>	Dorothy Dandridge
<Hiroshi_Gondoh>	Hiroshi Gondoh
<Fellow_of_the_Institute_of_Physics>	Fellow of the Institute of Physics
<Joseph_L._Hurley>	Joseph L. Hurley
<Rui_Baião>	Rui Baião
<Joe_Kubert>	Joe Kubert
<Teji_Bachchan>	Teji Bachchan
<Katharine_Cornell>	Katharine Cornell
<James_Cook_University>	James Cook University
<Hal_Rayle>	Hal Rayle
<Hugh_Auchincloss_Steers>	Hugh Auchincloss Steers
<Hermann_Weber>	Hermann Weber
<Alta_Allen>	Alta Allen
<Petrockstow_railway_station>	Petrockstow railway station
<John_Towey>	John Towey
<Emőke_Szathmáry>	Emőke Szathmáry
<Collins_St.,_5_pm>	Collins St., 5 pm
<Julio_José_Iglesias_Rouget>	Julio José Iglesias Rouget
<Carey_Lowell>	Carey Lowell
<Abdullah_Gül>	Abdullah Gül
<Attack_(political_party)>	Attack (political party)
<Manning_Clark>	Manning Clark
<Paul_Konchesky>	Paul Konchesky
<Kathryn_Adams_Doty>	Kathryn Adams Doty
<Barbara_Hafer>	Barbara Hafer
<Annie_Yi>	Annie Yi
<Mary_Merrall>	Mary Merrall
<Hamden,_Connecticut>	Hamden, Connecticut
<Datang_Telecom_Group>	Datang Telecom Group
<Emily_H._Vokes>	Emily H. Vokes
<JakTV>	JakTV
<A_Chorus_Line>	A Chorus Line
<Kate_Pang>	Kate Pang
<Winnipeg>	Winnipeg
<Inger_McCabe_Elliott>	Inger McCabe Elliott
<Elaine_Makatura_Bass>	Elaine Makatura Bass
<Arthur_Miller>	Arthur Miller
<Braxton_Sutter>	Braxton Sutter
<Sid_Colin>	Sid Colin
<Infamous_Second_Son>	Infamous Second Son
<Paul_Nuttall>	Paul Nuttall
<Drogheda_United_F.C.>	Drogheda United F.C.
<Beitar_Nes_Tubruk_F.C.>	Beitar Nes Tubruk F.C.
<Paul_Danquah>	Paul Danquah
<FC_Shakhtar-2_Donetsk>	FC Shakhtar-2 Donetsk
<Temple_University>	Temple University
<Scott_County,_Kentucky>	Scott County, Kentucky
<Thomas_H._Ince>	Thomas H. Ince
<300_East_57th_Street>	300 East 57th Street
<Vasant_Sarwate>	Vasant Sarwate
<George_Catlin_Woodruff>	George Catlin Woodruff
<Nobel_Memorial_Prize_in_Economic_Sciences>	Nobel Memorial Prize in Economic Sciences
<Bridget_Prentice>	Bridget Prentice
<The_River_Why>	The River Why
<Mercedes-Benz_W126>	Mercedes-Benz W126
<John_Zaborszky>	John Zaborszky
<Saad_Khan>	Saad Khan
<Sydney_Lassick>	Sydney Lassick
<Marsilio_Ficino>	Marsilio Ficino
<Dancer_in_the_Dark>	Dancer in the Dark
<Bradford_Tatum>	Bradford Tatum
<Sashadhar_Mukherjee>	Sashadhar Mukherjee
<Peet's_Coffee_&_Tea>	Peet's Coffee & Tea
<Anaheim_Amigos>	Anaheim Amigos
<Joe_Sinnott>	Joe Sinnott
<John_Cleese>	John Cleese
<Silicon_Knights>	Silicon Knights
<Snøhetta_(company)>	Snøhetta (company)
<Bruno_Sacco>	Bruno Sacco
<Harrisburg_Line>	Harrisburg Line
<Marc_Mezvinsky>	Marc Mezvinsky
<Arizona_State_University>	Arizona State University
<Cricket_Victoria>	Cricket Victoria
<Hugh_Fraser_(actor)>	Hugh Fraser (actor)
<Harriet_Bosse>	Harriet Bosse
<England_national_under-18_football_team>	England national under-18 football team
<Frank_Howson>	Frank Howson
<The_Prosecution_of_George_W._Bush_for_Murder>	The Prosecution of George W. Bush for Murder
<Cello_Concerto_(Waterhouse)>	Cello Concerto (Waterhouse)
<England>	England
<Ritchie_Kitoko>	Ritchie Kitoko
<C._Thomas_Howell>	C. Thomas Howell
<Take-Two_Interactive>	Take-Two Interactive
<Paris_Saint-Germain_F.C.>	Paris Saint-Germain F.C.
<John_Sulston>	John Sulston
<Hollywood_Shuffle>	Hollywood Shuffle
<Rebecca_Rigg>	Rebecca Rigg
<All_Saints_Church,_Huntsham>	All Saints Church, Huntsham
<Ladies_Almanack>	Ladies Almanack
<Macchi_M.26>	Macchi M.26
<Manley_Laurence_Power>	Manley Laurence Power
<Anthony_S._Fauci>	Anthony S. Fauci
<Cleveland>	Cleveland
<Christine_Norden>	Christine Norden
<Louisa_Gross_Horwitz_Prize>	Louisa Gross Horwitz Prize
<Kevin_Sharp_(footballer)>	Kevin Sharp (footballer)
<Huddersfield_Town_A.F.C.>	Huddersfield Town A.F.C.
<Calumet_Farm>	Calumet Farm
<University_of_Oxford>	University of Oxford
<Silvia_Pinal>	Silvia Pinal
<Huntington,_New_York>	Huntington, New York
<Penny_Nichols>	Penny Nichols
<Myrna_Loy>	Myrna Loy
<James_M._McPherson>	James M. McPherson
<Tex_Murphy>	Tex Murphy
<David_Sánchez_Parrilla>	David Sánchez Parrilla
<Portsmouth_F.C.>	Portsmouth F.C.
<Ercole_Spada>	Ercole Spada
<Leeuwenhoek_Medal>	Leeuwenhoek Medal
<John_Okell>	John Okell
<Walter_Ulbricht>	Walter Ulbricht
<Youth_in_Revolt>	Youth in Revolt
<Night_(book)>	Night (book)
<Grand_Hotel_et_de_Milan>	Grand Hotel et de Milan
<Brian_Friel>	Brian Friel
<Frederick_Ashton>	Frederick Ashton
<Torn_(TV_series)>	Torn (TV series)
<Club_Atlético_River_Plate_(Montevideo)>	Club Atlético River Plate (Montevideo)
<Gail_O'Grady>	Gail O'Grady
<Hayrünnisa_Gül>	Hayrünnisa Gül
<Welcome_to_St._Tropez>	Welcome to St. Tropez
<Kate_Ryan>	Kate Ryan
<Laura_Dave>	Laura Dave
<James_Barnet>	James Barnet
<Gus_Grissom>	Gus Grissom
<Bruce_Mann_(legal_historian)>	Bruce Mann (legal historian)
<Wycombe_Wanderers_F.C.>	Wycombe Wanderers F.C.
<United_Kingdom>	United Kingdom
<Steven_Vitória>	Steven Vitória
<Jaime_Bravo>	Jaime Bravo
<Canadian_Alliance>	Canadian Alliance
<By_the_Waters_of_Babylon>	By the Waters of Babylon
<Diane_Ravitch>	Diane Ravitch
<Square_Enix_Europe>	Square Enix Europe
<Nedlands,_Western_Australia>	Nedlands, Western Australia
<Richard_Sharp_Smith>	Richard Sharp Smith
<The_Battle_Hymn_of_the_Republic>	The Battle Hymn of the Republic
<Liberal_Democratic_Party_(Japan)>	Liberal Democratic Party (Japan)
<Alex_Gordon>	Alex Gordon
<Phil_Redmond>	Phil Redmond
<Dennis_Berry_(director)>	Dennis Berry (director)
<Chen_Jianbin>	Chen Jianbin
<Debbie_Dingell>	Debbie Dingell
<Alan_Alda>	Alan Alda
<Franklin_Dyall>	Franklin Dyall
<Jim_Backus>	Jim Backus
<California_Institute_of_Technology>	California Institute of Technology
<Elk_(sculpture)>	Elk (sculpture)
<Léo_Lima>	Léo Lima
<FK_Čukarički>	FK Čukarički
<Russian_Post>	Russian Post
<Carrie_White>	Carrie White
<Louis_H._Giele>	Louis H. Giele
<Three_Corn_Patches>	Three Corn Patches
<Jerry_Goldsmith>	Jerry Goldsmith
<The_Unnamable_(novel)>	The Unnamable (novel)
<Ronald_Weitzer>	Ronald Weitzer
<Hugo_Almeida>	Hugo Almeida
<Earl_Ball>	Earl Ball
<Julian_L._McPhillips>	Julian L. McPhillips
<Digital_First_Media>	Digital First Media
<Henry_Kautz>	Henry Kautz
<New_York>	New York
<South_Korea_national_under-23_football_team>	South Korea national under-23 football team
<Super_Smash_Bros.>	Super Smash Bros.
<Funai>	Funai
<Rafael_Edholm>	Rafael Edholm
<Dundee_F.C.>	Dundee F.C.
<Louis_Cheung>	Louis Cheung
<Sealed_Verdict>	Sealed Verdict
<Roy_Innis>	Roy Innis
<Bruno_Rossi>	Bruno Rossi
<Kensington>	Kensington
<Kevin_Hagen>	Kevin Hagen
<Reşat_Nuri_Güntekin>	Reşat Nuri Güntekin
<T-Bone_Walker>	T-Bone Walker
<International_Cosmos_Prize>	International Cosmos Prize
<Amara_(singer)>	Amara (singer)
<Hans_Zimmer>	Hans Zimmer
<Conor_Wilkinson>	Conor Wilkinson
<Shirley_Ann_Russell>	Shirley Ann Russell
<Bernard_Williams>	Bernard Williams
<Mochtar_Riady>	Mochtar Riady
<Otto_Hittmair>	Otto Hittmair
<Josiah_Willard_Gibbs>	Josiah Willard Gibbs
<José_María_Fernández_Unsáin>	José María Fernández Unsáin
<Friedrich_Bürklein>	Friedrich Bürklein
<Stephen_Maher_(footballer)>	Stephen Maher (footballer)
<Cornel_Wilde>	Cornel Wilde
<A_Guy_Called_Gerald>	A Guy Called Gerald
<Sharman_Macdonald>	Sharman Macdonald
<Brief_Interviews_with_Hideous_Men>	Brief Interviews with Hideous Men
<Robert_Langlands>	Robert Langlands
<Helmut_Käutner>	Helmut Käutner
<Little_Rock,_Arkansas>	Little Rock, Arkansas
<EA_Bright_Light>	EA Bright Light
<Danny_Chan_Kwok-kwan>	Danny Chan Kwok-kwan
<Harry_Myers>	Harry Myers
<IBM>	IBM
<Ben_Feringa>	Ben Feringa
<Albert_Einstein_Medal>	Albert Einstein Medal
<Chris_Baird>	Chris Baird
<Joseph_Keller>	Joseph Keller
<Yuan_Chang>	Yuan Chang
<Arnold_Nordsieck>	Arnold Nordsieck
<Erwin_Data_Modeler>	Erwin Data Modeler
<Cowes_railway_station>	Cowes railway station
<Paddy_McCourt>	Paddy McCourt
<Buriram_United_F.C.>	Buriram United F.C.
<Ruslan_Fomin>	Ruslan Fomin
<Jean_Lodge>	Jean Lodge
<Providence,_Rhode_Island>	Providence, Rhode Island
<Margaret_Morgan_Lawrence>	Margaret Morgan Lawrence
<Boulder,_Colorado>	Boulder, Colorado
<Eduardo_Paes>	Eduardo Paes
<Old_Roosevelt_Bridge>	Old Roosevelt Bridge
<Héctor_Font>	Héctor Font
<Peter_Jones_(Australian_politician)>	Peter Jones (Australian politician)
<Trout_Fishing_in_America>	Trout Fishing in America
<Júlio_César_(football_goalkeeper,_born_1979)>	Júlio César (football goalkeeper, born 1979)
<David_Freeman_(footballer)>	David Freeman (footballer)
<Which_Way_to_the_War>	Which Way to the War
<The_Land_of_Decoration>	The Land of Decoration
<Annie_Wersching>	Annie Wersching
<Harmonix>	Harmonix
<William_Parker_(musician)>	William Parker (musician)
<Krapp's_Last_Tape>	Krapp's Last Tape
<Clarence_Stein>	Clarence Stein
<Valerie_Hobson>	Valerie Hobson
<CRRC_Corporation>	CRRC Corporation
<Nightwood>	Nightwood
<Touching_Evil>	Touching Evil
<Toni_Mannix>	Toni Mannix
<İsmail_Kahraman>	İsmail Kahraman
<Minneapolis>	Minneapolis
<Heinz_Zöger>	Heinz Zöger
<Massachusetts_Institute_of_Technology>	Massachusetts Institute of Technology
<George_Jessel_(actor)>	George Jessel (actor)
<Dick_Spanner,_P.I.>	Dick Spanner, P.I.
<DJ_Hyde>	DJ Hyde
<Holy_Trinity_Church_(Manhattan)>	Holy Trinity Church (Manhattan)
<Edmund_Sedding>	Edmund Sedding
<Mildred_Joanne_Smith>	Mildred Joanne Smith
<Cara_Williams>	Cara Williams
<The_Texas_Chain_Saw_Massacre>	The Texas Chain Saw Massacre
<Ruby_Lin>	Ruby Lin
<The_Herd_(1978_film)>	The Herd (1978 film)
<Vicky_Pryce>	Vicky Pryce
<David_Gest>	David Gest
<Salt_Lake_City>	Salt Lake City
<Copenhagen>	Copenhagen
<ProSiebenSat.1_Media>	ProSiebenSat.1 Media
<Scandlines>	Scandlines
<Gordon_Moore>	Gordon Moore
<Mary_Willis_Library>	Mary Willis Library
<Berkeley_Breathed>	Berkeley Breathed
<David_James_Duncan>	David James Duncan
<George_Henry_Williams>	George Henry Williams
<Eddington_Medal>	Eddington Medal
<Portugal_national_under-21_football_team>	Portugal national under-21 football team
<The_Joke_(novel)>	The Joke (novel)
<Miguel_Ángel_Luque>	Miguel Ángel Luque
<Nikolay_Bogolyubov>	Nikolay Bogolyubov
<A-Channel_(Craig_Media)>	A-Channel (Craig Media)
<Jon_Lucas>	Jon Lucas
<Lina_Wertmüller>	Lina Wertmüller
<Deborra-Lee_Furness>	Deborra-Lee Furness
<Gabrielle_Hamilton_(actress)>	Gabrielle Hamilton (actress)
<NAS_Award_for_Scientific_Reviewing>	NAS Award for Scientific Reviewing
<Alexander_Victorovich_Fedorov>	Alexander Victorovich Fedorov
<Werner_Dahm>	Werner Dahm
<Israel_national_under-21_football_team>	Israel national under-21 football team
<CD_Mirandés>	CD Mirandés
<Marc_Baril>	Marc Baril
<Republic_of_Ireland_national_football_team>	Republic of Ireland national football team
<Robert_H._Dicke>	Robert H. Dicke
<John_T._Riedl>	John T. Riedl
<Female_Serial_Killers>	Female Serial Killers
<Artisan_Entertainment>	Artisan Entertainment
<Julie_Bishop_(actress)>	Julie Bishop (actress)
<Sunil_Dutt>	Sunil Dutt
<Heike_Kamerlingh_Onnes>	Heike Kamerlingh Onnes
<Monde_Nissin>	Monde Nissin
<Glenn_T._Seaborg_Medal>	Glenn T. Seaborg Medal
<Shirley_Simons>	Shirley Simons
<Ursula_Kuczynski>	Ursula Kuczynski
<Innsbruck>	Innsbruck
<Curtis_Obeng>	Curtis Obeng
<Bill_Treacher>	Bill Treacher
<Andrey_Kolmogorov>	Andrey Kolmogorov
<Heavy_Iron_Studios>	Heavy Iron Studios
<Jan_Wilsgaard>	Jan Wilsgaard
<Igors_Labuts>	Igors Labuts
<Swapnatirtha>	Swapnatirtha
<Jason_Jones_(actor)>	Jason Jones (actor)
<East_of_Eden_(novel)>	East of Eden (novel)
<Old_State_House_(Boston)>	Old State House (Boston)
<France_national_under-20_football_team>	France national under-20 football team
<Friedrich_Geiger>	Friedrich Geiger
<Redeye_(comics)>	Redeye (comics)
<Sidney_Homer>	Sidney Homer
<Julie_Benz>	Julie Benz
<Queenie_Leonard>	Queenie Leonard
<Housekeeping_(novel)>	Housekeeping (novel)
<A.D._Ovarense>	A.D. Ovarense
<Josiah_Francis>	Josiah Francis
<Southern_Championship_Wrestling_(Georgia)>	Southern Championship Wrestling (Georgia)
<Josh_Singer>	Josh Singer
<Norah,_Lady_Docker>	Norah, Lady Docker
<Joan_Howard_Maurer>	Joan Howard Maurer
<Ming-Na_Wen>	Ming-Na Wen
<Samuel_Mauger>	Samuel Mauger
<Postal_(video_game_series)>	Postal (video game series)
<Rosa_Carmina>	Rosa Carmina
<Robin_Padilla>	Robin Padilla
<Bebe_Moore_Campbell>	Bebe Moore Campbell
<Renault_Laguna>	Renault Laguna
<Hampton_&_Richmond_Borough_F.C.>	Hampton & Richmond Borough F.C.
<Ferrari_F310>	Ferrari F310
<Vigor_Brown>	Vigor Brown
<Herbert_Barker_(golfer)>	Herbert Barker (golfer)
<Griffith_University>	Griffith University
<Werner_Zerweck>	Werner Zerweck
<Durban>	Durban
<Los_Angeles>	Los Angeles
<Ron_Greenberg>	Ron Greenberg
<Manne_Siegbahn>	Manne Siegbahn
<Earshot_(book)>	Earshot (book)
<The_Orphans'_Home_Cycle>	The Orphans' Home Cycle
<Roberto_Clemente_Award>	Roberto Clemente Award
<Los_Angeles_Review_of_Books>	Los Angeles Review of Books
<Francis_Preston_Blair>	Francis Preston Blair
<Pulitzer_Prize_for_Drama>	Pulitzer Prize for Drama
<Andre_DeToth>	Andre DeToth
<Liberal_Republican_Party_(United_States)>	Liberal Republican Party (United States)
<Zhan_Videnov>	Zhan Videnov
<Jennifer_Grey>	Jennifer Grey
<Sam_Winchester>	Sam Winchester
<Tom_Cruise>	Tom Cruise
<Donald_Lynden-Bell>	Donald Lynden-Bell
<Jerzy_Neyman>	Jerzy Neyman
<Los_Angeles_Bulldogs>	Los Angeles Bulldogs
<Elliot_Johnson_(politician)>	Elliot Johnson (politician)
<Cheyenne_(catamaran)>	Cheyenne (catamaran)
<J._Michael_Bishop>	J. Michael Bishop
<My_Queen>	My Queen
<Sussex>	Sussex
<Robert_Donat>	Robert Donat
<Grupo_Silvio_Santos>	Grupo Silvio Santos
<William_Mann_(Australian_politician)>	William Mann (Australian politician)
