idx,s,r,o,gold_start,gold_end,pred_text,pred_start,pred_end,giou_top1,aeiou_top1,ae_start_top1,ae_end_top1,ae_avg_top1,ctx_1hop,ctx_2hop,ctx_used,prompt_chars,prompt_preview
10,11899,22,10159,2003,2003,Answer: 2004-2006,2004,2006,0.0,0.25,1,3,2.0,0,0,0,700,"### Subject
Darren Huckerby: Darren Carl Huckerby (born 23 April 1976) is an English football coach and former professional footballer. As a player, he was a forward who notably played in …

### Object
Nottingham Forest F.C.: Nottingham Forest Football Club is an association football club based in West Bridgford, Nottinghamshire, England. Nottingham Forest was founded in 1865 and ha…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Darren Huckerby, member of sports team, Nottingham Forest F.C.)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
11,12422,22,10065,2010,2010,Answer: ####-####,,,0.0,0.0,,,,0,0,0,688,"### Subject
Daniel Reule: Daniel Reule (born 2 May 1983, in Neuenbürg) is a German footballer who plays for SV Kickers Pforzheim as a striker. In the 2. Fußball-Bundesliga he has made s…

### Object
Stuttgarter Kickers: Stuttgarter Kickers is a German association football club that plays in Stuttgart, Baden-Württemberg, founded on 21 September 1899 as FC Stuttgarter Cickers.In…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Daniel Reule, member of sports team, Stuttgarter Kickers)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
12,5506,20,5808,1958,1958,Answer: 1960-1969,1960,1969,-0.08333333333333333,0.08333333333333333,2,11,6.5,0,0,0,726,"### Subject
Bobby Charlton: Sir Robert Charlton CBE (born 11 October 1937) is an English former footballer who played either as a midfielder or a forward. Considered one of the greatest p…

### Object
BBC Sports Personality of the Year Award: The BBC Sports Personality of the Year Award is the main award of the BBC Sports Personality of the Year ceremony, which takes place each December. The winner …

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Bobby Charlton, nominated for, BBC Sports Personality of the Year Award)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
13,10598,22,10599,2005,2008,Answer: 2007-2010,2007,2010,0.3333333333333333,0.3333333333333333,2,2,2.0,0,0,0,690,"### Subject
Ákos Buzsáky: Ákos Buzsáky (born 7 May 1982) is a Hungarian former professional footballer who played as a midfielder. He played in the Nemzeti Bajnokság for MTK Budapest an…

### Object
Plymouth Argyle F.C.: Plymouth Argyle Football Club is a professional football club based in the city of Plymouth, Devon, England. As of the 2021–22 season, the team are competing i…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Ákos Buzsáky, member of sports team, Plymouth Argyle F.C.)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
14,11824,22,10323,1994,1995,Answer: ####-####,,,0.0,0.0,,,,0,0,0,690,"### Subject
Roman Mählich: Roman Mählich (born 17 September 1971) is an Austrian football manager and a former player. A stocky midfielder, Mählich started his professional career at Wie…

### Object
FC Wacker Innsbruck: FC Wacker Innsbruck is an Austrian association football club from Innsbruck. The club was formed in June 2002 as FC Wacker Tirol, and plays their home games at…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Roman Mählich, member of sports team, FC Wacker Innsbruck)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
15,11002,22,9775,2012,2014,Answer: 2010-2011,2010,2011,0.0,0.2,2,3,2.5,0,0,0,664,"### Subject
Ben Sahar: Ben Sahar (Hebrew: בן שׂהר, changed the Hebrew spelling of his surname from סהר; born 10 August 1989) is an Israeli professional footballer who plays as a stri…

### Object
Hertha BSC: Hertha, Berliner Sport-Club e. V., commonly known as Hertha BSC (German pronunciation: [ˈhɛʁtaː beː ʔɛs t͡seː]), and sometimes referred to as Hertha Berlin, He…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Ben Sahar, member of sports team, Hertha BSC)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
16,4281,14,4155,1886,1886,Answer: 1880-1899,1880,1899,0.05,0.05,6,13,9.5,0,0,0,700,"### Subject
Petko Karavelov: Petko Stoichev Karavelov (Bulgarian: Петко Стойчев Каравелов; 24 March 1843 – 24 January 1903) was a leading Bulgarian liberal politician who served as Prime M…

### Object
Prime Minister of Bulgaria: The prime minister of Bulgaria (Bulgarian: Министър-председател, romanized: Ministar-predsedatel) is the head of government of Bulgaria. They are the leader of…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Petko Karavelov, position held, Prime Minister of Bulgaria)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
17,1864,11,3095,1972,,Answer: 1970-####,1970,1970,0.0,0.0,2,,,0,0,0,732,"### Subject
Barbara Hendricks: Barbara Anne Hendricks (born 29 April 1952) is a German politician of the Social Democratic Party (SPD) who served as Federal Minister for the Environment, Nat…

### Object
Social Democratic Party of Germany: The Social Democratic Party of Germany (German: Sozialdemokratische Partei Deutschlands, [zoˈtsi̯aːldemoˌkʁaːtɪʃə paʁˌtaɪ ˈdɔʏtʃlants]; SPD, German pronunciati…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Barbara Hendricks, member of political party, Social Democratic Party of Germany)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
18,10368,22,10146,1990,1994,Answer: 1991-1994,1991,1994,0.8,0.8,1,0,0.5,0,0,0,734,"### Subject
Russell Latapy: Russell Nigel Latapy CM (born 2 August 1968) is a Trinidadian former professional footballer who played as an attacking midfielder, and is currently the assist…

### Object
Associação Académica de Coimbra – O.A.F.: The Associação Académica de Coimbra – Organismo Autónomo de Futebol (AAC/OAF), also referred to as Académica de Coimbra (Portuguese pronunciation: [ɐkɐˈðɛmikɐ …

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Russell Latapy, member of sports team, Associação Académica de Coimbra – O.A.F.)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
19,619,15,4982,,2014,Answer: ####-2015,2015,2015,0.0,0.0,,1,,0,0,0,607,"### Subject
Breitenfeld an der Rittschein: Breitenfeld an der Rittschein is a former municipality in the district of Südoststeiermark in the Austrian state of Styria. Since the 2015 Styria municipal str…

### Object
rural municipality of Austria: type of Austrian rural municipality

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Breitenfeld an der Rittschein, instance of, rural municipality of Austria)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
20,4621,14,3457,2005,2010,Answer: 2005-2010,2005,2010,1.0,1.0,0,0,0.0,0,0,0,582,
21,12115,22,10107,1995,1997,Answer: ####-####,,,0.0,0.0,,,,0,0,0,674,
22,4963,17,4312,2012,2016,Answer: ####-####,,,0.0,0.0,,,,0,0,0,691,
23,7870,20,6722,1979,1979,Answer: 1975-1989,1975,1989,0.06666666666666667,0.06666666666666667,4,10,7.0,0,0,0,736,
24,12302,22,11154,2010,2010,Answer: 2013-2013,2013,2013,-0.5,0.25,3,3,3.0,0,0,0,676,
25,7800,17,7801,1967,1967,Answer: 1967-1989,1967,1989,0.043478260869565216,0.043478260869565216,0,22,11.0,0,0,0,735,
26,11824,22,9893,1992,2002,Answer: 1993-2002,1993,2002,0.9090909090909091,0.9090909090909091,1,0,0.5,0,0,0,736,
27,8380,17,7427,1960,1960,Answer: 1955-1955,1955,1955,-0.6666666666666666,0.16666666666666666,5,5,5.0,0,0,0,701,
28,2428,20,6497,2013,2013,1992-2010,1992,2010,-0.09090909090909091,0.045454545454545456,21,3,12.0,0,0,0,736,
29,6686,17,6687,2015,2015,Answer: ####-####,,,0.0,0.0,,,,0,0,0,523,
30,11990,22,10600,2011,2013,Answer: 2010-2012,2010,2012,0.5,0.5,1,1,1.0,0,0,0,680,
31,7533,17,6357,1973,1973,Answer: 1973-1973,1973,1973,1.0,1.0,0,0,0.0,0,0,0,703,
32,12478,22,9820,1969,1971,Answer: 1978-1979,1978,1979,-0.5454545454545454,0.09090909090909091,9,8,8.5,0,0,0,708,
33,11546,22,9609,2007,2007,Answer: 2006-2008,2006,2008,0.3333333333333333,0.3333333333333333,1,1,1.0,0,0,0,694,
34,2477,9,2478,2000,2001,Answer: 2000-2007,2000,2007,0.25,0.25,0,6,3.0,0,0,0,698,
35,3624,14,3437,1945,1970,Answer: 1945-1970,1945,1970,1.0,1.0,0,0,0.0,0,0,0,573,
36,12101,22,11353,2007,2007,Answer: ####-####,,,0.0,0.0,,,,0,0,0,680,
37,8124,20,6362,2011,2011,Answer: ####-####,,,0.0,0.0,,,,0,0,0,690,
38,10618,22,9736,2012,2013,Answer: 2014-2015,2014,2015,0.0,0.25,2,2,2.0,0,0,0,706,
39,5647,16,5656,1998,1998,Answer: ####-####,,,0.0,0.0,,,,0,0,0,673,
40,4874,14,3431,2007,2012,Answer: 2012-2022,2012,2022,0.0625,0.0625,5,10,7.5,0,0,0,722,
41,7766,20,7343,1980,1980,Answer: 1980-1980,1980,1980,1.0,1.0,0,0,0.0,0,0,0,684,
42,12139,22,9811,2004,2006,Answer: 2003-2006,2003,2006,0.75,0.75,1,0,0.5,0,0,0,730,
43,12215,22,10234,2013,2015,Answer: ####-####,,,0.0,0.0,,,,0,0,0,690,
44,5494,17,6143,1976,1976,Answer: 1966-1976,1966,1976,0.09090909090909091,0.09090909090909091,10,0,5.0,0,0,0,697,
45,1433,9,2485,1957,,Answer: 1993-2024,1993,2024,0.0,0.0,36,,,0,0,0,694,
46,11471,22,10605,2010,2011,Answer: 2010-2013,2010,2013,0.5,0.5,0,2,1.0,0,0,0,704,
47,7312,20,7315,2009,2009,Answer: 2009-2009,2009,2009,1.0,1.0,0,0,0.0,0,0,0,704,
48,10871,22,10789,2007,2009,Answer: 2011-2012,2011,2012,-0.16666666666666666,0.16666666666666666,4,3,3.5,0,0,0,690,
49,3193,20,6825,1981,1981,Answer: ####-####,,,0.0,0.0,,,,0,0,0,726,
50,12065,22,10974,2010,2010,Answer: ####-####,,,0.0,0.0,,,,0,0,0,694,
51,6350,20,6352,1994,1994,Answer: 1995-2016,1995,2016,0.0,0.043478260869565216,1,22,11.5,0,0,0,718,
52,11094,22,10151,2002,2006,Answer: 2002-2010,2002,2010,0.5555555555555556,0.5555555555555556,0,4,2.0,0,0,0,716,
53,7089,17,7090,1981,1981,Answer: 1969-1969,1969,1969,-0.8461538461538461,0.07692307692307693,12,12,12.0,0,0,0,707,
54,242,15,4982,,2014,Answer: ####-2015,2015,2015,0.0,0.0,,1,,0,0,0,563,
55,6340,20,9109,1993,1993,Answer: ####-####,,,0.0,0.0,,,,0,0,0,718,
56,10485,22,9549,2004,2006,Answer: 2006-2009,2006,2009,0.16666666666666666,0.16666666666666666,2,3,2.5,0,0,0,688,
57,9272,20,6706,1920,1920,Answer: 1901-1929,1901,1929,0.034482758620689655,0.034482758620689655,19,9,14.0,0,0,0,730,
58,11269,22,9785,2007,2007,Answer: ####-####,,,0.0,0.0,,,,0,0,0,724,
59,10880,22,9927,1983,1987,Answer: ####-####,,,0.0,0.0,,,,0,0,0,720,
60,11401,22,10219,2012,2012,Answer: ####-####,,,0.0,0.0,,,,0,0,0,672,
61,12196,22,10392,2011,2011,Answer: 2000-2004,2000,2004,-0.5,0.08333333333333333,11,7,9.0,0,0,0,676,
62,251,1,125,1920,,Answer: 1790-2024,1790,2024,0.0,0.0,130,,,0,0,0,681,
63,11071,22,11072,2009,2009,Answer: ####-####,,,0.0,0.0,,,,0,0,0,684,
64,7752,20,6706,1904,1904,Answer: 1902-1902,1902,1902,-0.3333333333333333,0.3333333333333333,2,2,2.0,0,0,0,714,
65,11764,22,10291,2011,2012,Answer: 2001-2003,2001,2003,-0.5833333333333334,0.08333333333333333,10,9,9.5,0,0,0,690,
66,444,1,405,1871,1918,Answer: ####-####,,,0.0,0.0,,,,0,0,0,703,
67,8454,22,10258,1990,1999,Answer: 1990-1999,1990,1999,1.0,1.0,0,0,0.0,0,0,0,734,
68,8604,17,6706,1963,1963,Answer: 1963-1963,1963,1963,1.0,1.0,0,0,0.0,0,0,0,729,
69,11275,22,10811,2012,2013,Answer: 2010-2011,2010,2011,0.0,0.25,2,2,2.0,0,0,0,680,
70,12129,22,11034,2003,2003,Answer: 2004-2007,2004,2007,0.0,0.2,1,4,2.5,0,0,0,686,
71,6792,17,6706,1964,1964,Answer: 1964-1964,1964,1964,1.0,1.0,0,0,0.0,0,0,0,727,
72,2428,20,8772,2006,2006,Answer: ####-####,,,0.0,0.0,,,,0,0,0,734,
73,2635,17,7204,2015,2015,Answer: ####-####,,,0.0,0.0,,,,0,0,0,535,
74,6032,23,12520,1951,1955,Answer: 1952-1956,1952,1956,0.6666666666666666,0.6666666666666666,1,1,1.0,0,0,0,678,
75,11726,22,9717,2008,2009,Answer: 2001-2004,2001,2004,-0.3333333333333333,0.1111111111111111,7,5,6.0,0,0,0,682,
76,473,6,2040,1861,,Answer: 1861-2024,1861,2024,0.0,0.0,0,,,0,0,0,632,
77,9076,20,8236,1996,1996,Answer: 1992-2008,1992,2008,0.058823529411764705,0.058823529411764705,4,12,8.0,0,0,0,692,
78,2153,6,2027,1921,1939,Answer: 1918-1939,1918,1939,0.8636363636363636,0.8636363636363636,3,0,1.5,0,0,0,646,
79,6784,17,6786,2011,2011,Answer: 1972-2008,1972,2008,-0.05,0.025,39,3,21.0,0,0,0,617,
80,10998,22,9604,2009,2009,Answer: ####-####,,,0.0,0.0,,,,0,0,0,688,
81,12416,22,9994,1992,1995,Answer: 1991-1993,1991,1993,0.4,0.4,1,2,1.5,0,0,0,676,
82,3209,14,4053,1977,1977,Answer: ####-####,,,0.0,0.0,,,,0,0,0,554,
83,11853,22,9903,2006,2011,Answer: 2004-2011,2004,2011,0.75,0.75,2,0,1.0,0,0,0,732,
84,5962,20,5967,1994,1994,Answer: 1990-2010,1990,2010,0.047619047619047616,0.047619047619047616,4,16,10.0,0,0,0,738,
85,3844,14,3737,1838,1840,Answer: 1838-1844,1838,1844,0.42857142857142855,0.42857142857142855,0,4,2.0,0,0,0,575,
86,8073,20,7536,1987,1987,Answer: 1982-1989,1982,1989,0.125,0.125,5,2,3.5,0,0,0,736,
87,10820,22,5653,2009,2014,Answer: 2014-2017,2014,2017,0.1111111111111111,0.1111111111111111,5,3,4.0,0,0,0,676,
88,9144,18,686,2016,,Answer: 2016-2024,2016,2024,0.0,0.0,0,,,0,0,0,731,
89,12381,22,9912,2000,2007,Answer: 1998-2006,1998,2006,0.7,0.7,2,1,1.5,0,0,0,744,
90,11424,22,10608,2011,2011,Answer: ####-####,,,0.0,0.0,,,,0,0,0,738,
91,4907,14,3455,2015,2017,Answer: 2015-2017,2015,2017,1.0,1.0,0,0,0.0,0,0,0,582,
92,6282,17,5838,2011,2011,Answer: 1998-1998,1998,1998,-0.8571428571428571,0.07142857142857142,13,13,13.0,0,0,0,711,
93,9214,20,6012,1909,1909,Answer: ####-####,,,0.0,0.0,,,,0,0,0,700,
94,11896,22,10142,2004,2004,Answer: 2003-2006,2003,2006,0.25,0.25,1,2,1.5,0,0,0,736,
95,2827,9,2505,1939,1941,Answer: ####-####,,,0.0,0.0,,,,0,0,0,740,
96,8073,20,6392,1984,1984,Answer: 1982-1989,1982,1989,0.125,0.125,2,5,3.5,0,0,0,736,
97,9855,22,9857,1994,1996,Answer: 2006-2014,2006,2014,-0.42857142857142855,0.047619047619047616,12,18,15.0,0,0,0,712,
98,6784,17,6786,2010,2010,Answer: 1972-2008,1972,2008,-0.02564102564102564,0.02564102564102564,38,2,20.0,0,0,0,617,
99,4684,14,3707,1919,1924,Answer: 1922-1939,1922,1939,0.14285714285714285,0.14285714285714285,3,15,9.0,0,0,0,574,
100,11422,22,10417,1996,1996,Answer: 1990-1991,1990,1991,-0.5714285714285714,0.14285714285714285,6,5,5.5,0,0,0,670,
101,7310,20,9243,2011,2011,Answer: ####-####,,,0.0,0.0,,,,0,0,0,678,
102,7329,20,7330,1960,1960,Answer: 1950-1980,1950,1980,0.03225806451612903,0.03225806451612903,10,20,15.0,0,0,0,744,
103,11831,22,9710,1988,1990,Answer: 1982-1984,1982,1984,-0.3333333333333333,0.1111111111111111,6,6,6.0,0,0,0,688,
104,595,1,125,1790,1871,Answer: 1790-2024,1790,2024,0.34893617021276596,0.34893617021276596,0,153,76.5,0,0,0,689,
105,11176,22,9623,2003,2007,Answer: 2007-2009,2007,2009,0.14285714285714285,0.14285714285714285,4,2,3.0,0,0,0,666,
106,3029,10,3030,1955,,Answer: 1935-1956,1935,1956,0.0,0.0,20,,,0,0,0,725,
107,8081,17,7341,2012,2012,Answer: 2012-2012,2012,2012,1.0,1.0,0,0,0.0,0,0,0,748,
108,3108,17,7288,1973,1973,Answer: ####-####,,,0.0,0.0,,,,0,0,0,611,
109,7252,20,9106,2009,2009,Answer: 2006-2016,2006,2016,0.09090909090909091,0.09090909090909091,3,7,5.0,0,0,0,732,
110,11422,22,9645,1989,1990,Answer: 1990-1991,1990,1991,0.3333333333333333,0.3333333333333333,1,1,1.0,0,0,0,704,
111,10624,22,10627,1984,1985,Answer: 1991-1994,1991,1994,-0.45454545454545453,0.09090909090909091,7,9,8.0,0,0,0,704,
112,11991,22,10527,2002,2005,Answer: 2002-2006,2002,2006,0.8,0.8,0,1,0.5,0,0,0,678,
113,1274,1,129,1790,1871,Answer: 1790-2024,1790,2024,0.34893617021276596,0.34893617021276596,0,153,76.5,0,0,0,689,
114,8258,17,8262,1999,1999,Answer: 1995-2005,1995,2005,0.09090909090909091,0.09090909090909091,4,6,5.0,0,0,0,739,
115,4863,14,3431,2012,2012,Answer: 2007-2017,2007,2017,0.09090909090909091,0.09090909090909091,5,5,5.0,0,0,0,728,
116,7589,17,6213,1984,1984,Answer: ####-####,,,0.0,0.0,,,,0,0,0,593,
117,12439,22,10339,1996,1998,1994-1999,1994,1999,0.5,0.5,2,1,1.5,0,0,0,722,
118,4839,14,3437,2010,,Answer: 2010-2024,2010,2024,0.0,0.0,0,,,0,0,0,527,
119,9144,18,1041,,2016,Answer: 1960-2016,1960,2016,0.0,0.0,,0,,0,0,0,699,
120,11312,22,11313,2014,2014,Answer: 2009-2010,2009,2010,-0.5,0.16666666666666666,5,4,4.5,0,0,0,700,
121,1858,17,5957,2007,2007,Answer: 2007-2017,2007,2017,0.09090909090909091,0.09090909090909091,0,10,5.0,0,0,0,693,
122,11314,22,10729,2000,2001,Answer: 2000-2001,2000,2001,1.0,1.0,0,0,0.0,0,0,0,726,
123,12131,22,9881,2006,2007,Answer: 2003-2004,2003,2004,-0.2,0.2,3,3,3.0,0,0,0,692,
124,11290,22,9570,2009,2010,Answer: 2009-2010,2009,2010,1.0,1.0,0,0,0.0,0,0,0,606,
125,5505,17,5493,1957,1957,Answer: 1957-1959,1957,1959,0.3333333333333333,0.3333333333333333,0,2,1.0,0,0,0,677,
126,5395,20,6365,2006,2006,Answer: 1997-2019,1997,2019,0.043478260869565216,0.043478260869565216,9,13,11.0,0,0,0,679,
127,11718,22,9937,2011,2015,Answer: 2007-2010,2007,2010,0.0,0.1111111111111111,4,5,4.5,0,0,0,698,
128,6955,17,6253,1975,1975,Answer: 1975-1975,1975,1975,1.0,1.0,0,0,0.0,0,0,0,733,
129,7555,17,6163,1956,1956,Answer: 1956-1956,1956,1956,1.0,1.0,0,0,0.0,0,0,0,509,
130,8776,17,7791,1953,1953,Answer: 1954-1954,1954,1954,0.0,0.5,1,1,1.0,0,0,0,729,
131,5633,20,8315,2012,2012,Answer: 2011-2011,2011,2011,0.0,0.5,1,1,1.0,0,0,0,722,
132,11097,22,10763,2008,2010,Answer: 2007-2008,2007,2008,0.25,0.25,1,2,1.5,0,0,0,692,
133,512,15,4983,,2014,Answer: ####-2015,2015,2015,0.0,0.0,,1,,0,0,0,584,
134,7187,17,7191,2002,2002,Answer: ####-####,,,0.0,0.0,,,,0,0,0,561,
